vehicle_no,GPSVendor,Model,Type,year_made,tail_lift,status,possession,admin_station_id,category_id,color_id,vehicle_owner_id,vehicle_group_id
BHB 409,GUS,Hino WU410R-HKMMS3,Box Truck,2003,TRUE,A,GPA,343,21,16,4,29
BHE 144,GUS,Hino WU410R-HKMMS3,Box Truck,2004,TRUE,A,SGB,505,21,16,4,99
BHE 185,GUS,Hino WU410R-HKMMS3,Box Truck,2004,TRUE,A,HQ OPS,462,21,16,4,36
BHE 194,GUS,Hino WU410R-HKMMS3,Box Truck,2004,TRUE,A,HQ OPS,462,21,16,4,36
BHG 7081,GUS,Toyota Hiace LH172,Panel Van,2004,TRUE,A,HQ OPS,462,15,16,4,36
BHG 7091,GUS,Toyota Hiace LH172,Panel Van,2004,TRUE,A,HQ OPS,462,15,16,4,36
BHG 7092,GUS,Toyota Hiace LH172,Panel Van,2004,TRUE,A,PUC,483,15,16,4,87
BHG 7093,GUS,Toyota Hiace LH172,Panel Van,2004,TRUE,A,HQ OPS,462,15,16,4,36
BHG 7095,GUS,Toyota Hiace LH172,Panel Van,2004,TRUE,A,SBI,494,15,16,4,92
BHG 9852,GUS,Hicom 2.8 MTB145 (UBS),Box Truck,2004,TRUE,A,HQ OPS,462,25,16,4,36
BHG 9856,GUS,Hicom 2.8 MTB145 (UBS),Box Truck,2004,TRUE,A,HQ OPS,462,25,16,4,36
BHG 9885,GUS,Hicom 2.8 MTB145 (UBS),Box Truck,2004,TRUE,A,PUC,483,25,16,4,87
BHG 9895,GUS,Hicom 2.8 MTB145 (UBS),Box Truck,2004,TRUE,A,SDG,499,25,16,4,95
BHH 1086,GUS,Hicom 2.8 MTB145 (UBS),Box Truck,2004,TRUE,A,SBY,498,25,16,4,94
BHH 1090,GUS,Hicom 2.8 MTB145 (UBS),Box Truck,2004,TRUE,A,KPG,392,25,16,4,57
BHL 6048,GUS,Toyota Hiace LH172,Panel Van,2004,TRUE,A,HQ OPS,462,15,16,4,36
BHL 7165,GUS,Toyota Hiace LH172,Panel Van,2004,TRUE,A,RWG,493,15,16,4,90
BHL 7351,GUS,Toyota Hiace LH172,Panel Van,2004,TRUE,A,SGB,505,15,16,4,99
BHU 4359,GUS,Toyota Hiace LH172,Panel Van,2005,TRUE,A,HQ OPS,462,15,16,5,36
