,Name,Description,geometry,route_type,branch_no
0,GDEX AGH,,POINT Z (102.2163376 2.3845398 0),GDEX BRANCH,AGH (CR - SMALL)
1,AGHBRMC001 (TOWN),PEKAN ALOR GAJAH	0.6km<br>GADEK	3.8km<br>PAYA DATUK	6.6km<br>MRSM 	9km<br>SIMPANG EMPAT	9.7km<br>A'FAMOSA	10.7km<br>ADTEC	12km<br>BRISU	13.9km<br>SERI KENDONG	14.7km,"POLYGON Z ((102.11682 2.453102 0, 102.138737 2.439708 0, 102.137879 2.416983 0, 102.111958 2.405149 0, 102.12612 2.40189 0, 102.13436 2.397688 0, 102.13431 2.370051 0, 102.144395 2.369365 0, 102.146111 2.360575 0, 102.180494 2.372634 0, 102.192338 2.382238 0, 102.201107 2.375585 0, 102.218603 2.374778 0, 102.223323 2.377458 0, 102.225812 2.378894 0, 102.228302 2.381583 0, 102.235168 2.388928 0, 102.26402 2.408704 0, 102.263333 2.410397 0, 102.257625 2.412755 0, 102.25093 2.414299 0, 102.252476 2.416914 0, 102.259127 2.42013 0, 102.260887 2.425018 0, 102.258226 2.428191 0, 102.255823 2.435652 0, 102.251403 2.437067 0, 102.246746 2.440497 0, 102.244021 2.44099 0, 102.240159 2.439125 0, 102.235266 2.437431 0, 102.233249 2.43771 0, 102.225332 2.436981 0, 102.21898 2.444484 0, 102.217521 2.446156 0, 102.210698 2.448 0, 102.192845 2.447014 0, 102.184734 2.449029 0, 102.182588 2.465965 0, 102.186193 2.472782 0, 102.192716 2.472954 0, 102.194175 2.476212 0, 102.194497 2.479085 0, 102.179219 2.487746 0, 102.164885 2.47171 0, 102.150981 2.454903 0, 102.131411 2.450873 0, 102.11682 2.453102 0))",MOTOR ROUTE COVERAGE,AGH (CR - SMALL)
2,AGHBRMC002 (ODA),PENGKALAN	1.2km<br>MELAKA PINDAH	3.1km<br>PERINDUSTRIAN KELEMAK/RUMBIA	3.5km<br>LENDU DALAM	7.8km<br>REMBIA	7.8km<br>DEPOT IMIGRESEN MACHAP UMBOO	9.1km<br>LENDU HILIR	9.7km<br>LENDU TENGAH	9.7km<br>MACHAP BARU	14.9km<br>AIR PASIR	16.5km,"POLYGON Z ((102.158437 2.360233 0, 102.16937 2.360809 0, 102.169434 2.351225 0, 102.160465 2.34042 0, 102.164885 2.326912 0, 102.17526 2.327302 0, 102.197244 2.318294 0, 102.206814 2.323654 0, 102.212436 2.31109 0, 102.213423 2.30886 0, 102.219388 2.309289 0, 102.224409 2.311476 0, 102.220504 2.321895 0, 102.219688 2.328628 0, 102.218315 2.353798 0, 102.219474 2.358043 0, 102.218948 2.368852 0, 102.223508 2.359458 0, 102.225997 2.357786 0, 102.230417 2.353712 0, 102.237026 2.352469 0, 102.246124 2.348181 0, 102.249085 2.351568 0, 102.250587 2.357571 0, 102.245652 2.371078 0, 102.25711 2.369191 0, 102.275478 2.379225 0, 102.29096 2.373955 0, 102.298009 2.378796 0, 102.331526 2.37781 0, 102.340237 2.37498 0, 102.341096 2.377724 0, 102.331815 2.383902 0, 102.334186 2.389258 0, 102.287494 2.378796 0, 102.282903 2.383813 0, 102.28286 2.388272 0, 102.279255 2.391231 0, 102.274834 2.390116 0, 102.265007 2.381755 0, 102.254235 2.382141 0, 102.242948 2.386257 0, 102.253978 2.396719 0, 102.26462 2.397148 0, 102.265007 2.406624 0, 102.26402 2.408704 0, 102.261278 2.40684 0, 102.2574 2.404141 0, 102.240061 2.392246 0, 102.235168 2.388928 0, 102.233516 2.386914 0, 102.225812 2.378894 0, 102.218603 2.374778 0, 102.201107 2.375585 0, 102.192338 2.382238 0, 102.180494 2.372634 0, 102.146433 2.360449 0, 102.158437 2.360233 0))",MOTOR ROUTE COVERAGE,AGH (CR - SMALL)
3,AGHBRMC003 (ODA) Tuesday & Thursday,PAYA RUMPUT	11.7km<br>RANTAU PANJANG	12.9km<br>BRISU	13.9km<br>AIR LIMAU	15.6km<br>PEKAN MASJID TANAH	15.9km<br>SOLOK DUKU	15.9km<br>JERAM	18.5km<br>IKBN	19.6km<br>PAYA MENGKUANG	22.6km<br>KKTM MASJID TANAH	22.8km<br>TANJUNG BIDARA	23.8km<br>DURIAN DAUN	24.1km<br>RAMUAN CHINA BESAR/KECHIL	24.6km<br>KUALA SUNGAI BARU	25.7km<br>AIR MOLEK	29.7km<br>LINGGI	31.3km,"POLYGON Z ((102.038972 2.387672 0, 102.048865 2.377727 0, 102.061353 2.37897 0, 102.065473 2.374811 0, 102.068563 2.368894 0, 102.072726 2.355001 0, 102.078949 2.342652 0, 102.071224 2.340508 0, 102.069495 2.338344 0, 102.067147 2.335534 0, 102.075558 2.327644 0, 102.085987 2.327386 0, 102.098346 2.329102 0, 102.106414 2.336777 0, 102.109649 2.343129 0, 102.111049 2.345868 0, 102.108303 2.350627 0, 102.10796 2.352771 0, 102.11062 2.354315 0, 102.117229 2.353114 0, 102.123581 2.355215 0, 102.134953 2.362162 0, 102.13431 2.370051 0, 102.13436 2.397688 0, 102.12612 2.40189 0, 102.111958 2.405149 0, 102.137879 2.416983 0, 102.138737 2.439708 0, 102.11682 2.453102 0, 102.109857 2.450962 0, 102.096221 2.446928 0, 102.087209 2.441869 0, 102.079398 2.44993 0, 102.070214 2.454646 0, 102.064206 2.453188 0, 102.063777 2.446585 0, 102.067553 2.440926 0, 102.065751 2.43518 0, 102.070042 2.423346 0, 102.063004 2.416314 0, 102.052104 2.412712 0, 102.054335 2.404137 0, 102.046782 2.395776 0, 102.039959 2.388272 0, 102.038972 2.387672 0))",MOTOR ROUTE COVERAGE,AGH (CR - SMALL)
4,"AGHBRMC003 (ODA) Monday,Wednesday & Friday",PAYA RUMPUT 11.7km<br>RANTAU PANJANG 12.9km<br>BRISU 13.9km<br>AIR LIMAU 15.6km<br>PEKAN MASJID TANAH 15.9km<br>SOLOK DUKU 15.9km<br>JERAM 18.5km<br>IKBN 19.6km<br>PAYA MENGKUANG 22.6km<br>KKTM MASJID TANAH 22.8km<br>TANJUNG BIDARA 23.8km<br>DURIAN DAUN 24.1km<br>RAMUAN CHINA BESAR/KECHIL 24.6km<br>KUALA SUNGAI BARU 25.7km<br>AIR MOLEK 29.7km<br>LINGGI 31.3km,"POLYGON Z ((102.038972 2.387672 0, 102.026569 2.381755 0, 101.994672 2.392478 0, 101.991851 2.393675 0, 101.985371 2.393675 0, 101.982774 2.393246 0, 101.981626 2.391278 0, 101.974556 2.388937 0, 101.971675 2.389553 0, 101.97142 2.38831 0, 101.971192 2.387994 0, 101.970491 2.387782 0, 101.969747 2.387677 0, 101.969337 2.387762 0, 101.968895 2.387675 0, 101.968389 2.387223 0, 101.968248 2.386515 0, 101.968369 2.386362 0, 101.968436 2.386166 0, 101.968266 2.386102 0, 101.968349 2.385951 0, 101.969157 2.384719 0, 101.96886 2.384189 0, 101.968903 2.384024 0, 101.969224 2.383907 0, 101.969525 2.38365 0, 101.970136 2.382741 0, 101.971367 2.380616 0, 101.972532 2.378055 0, 101.97263 2.376951 0, 101.972471 2.376341 0, 101.972321 2.376301 0, 101.972011 2.376459 0, 101.971426 2.375987 0, 101.971714 2.375842 0, 101.97198 2.375985 0, 101.972467 2.375516 0, 101.972479 2.374677 0, 101.972561 2.374494 0, 101.972707 2.374473 0, 101.972914 2.374665 0, 101.973134 2.374385 0, 101.973354 2.373868 0, 101.973272 2.373436 0, 101.97357 2.373306 0, 101.973824 2.373433 0, 101.974269 2.372637 0, 101.974847 2.372642 0, 101.975892 2.37109 0, 101.977259 2.371178 0, 101.987473 2.36947 0, 101.995649 2.365332 0, 101.997365 2.368119 0, 101.999618 2.36857 0, 102.00303 2.368205 0, 102.009124 2.367305 0, 102.014553 2.365547 0, 102.021591 2.362224 0, 102.044701 2.346037 0, 102.052361 2.344472 0, 102.061674 2.335638 0, 102.067012 2.326753 0, 102.071577 2.317354 0, 102.074624 2.307406 0, 102.076061 2.302431 0, 102.078014 2.296728 0, 102.078746 2.295511 0, 102.081581 2.294765 0, 102.083558 2.292604 0, 102.084139 2.292016 0, 102.085192 2.292072 0, 102.086715 2.292083 0, 102.088582 2.291279 0, 102.08885 2.291916 0, 102.089805 2.292897 0, 102.090513 2.294345 0, 102.093946 2.298504 0, 102.095963 2.303907 0, 102.09592 2.308967 0, 102.099912 2.322346 0, 102.104675 2.325519 0, 102.116048 2.328735 0, 102.122571 2.326762 0, 102.12197 2.3297 0, 102.12315 2.332937 0, 102.122742 2.346573 0, 102.129652 2.35041 0, 102.142312 2.35264 0, 102.146111 2.360575 0, 102.145854 2.364563 0, 102.144395 2.369365 0, 102.13431 2.370051 0, 102.134953 2.362162 0, 102.123581 2.355215 0, 102.117229 2.353114 0, 102.11062 2.354315 0, 102.10796 2.352771 0, 102.108303 2.350627 0, 102.111049 2.345868 0, 102.106414 2.336777 0, 102.098346 2.329102 0, 102.085987 2.327386 0, 102.075558 2.327644 0, 102.067147 2.335534 0, 102.071224 2.340508 0, 102.078949 2.342652 0, 102.072726 2.355001 0, 102.068563 2.368894 0, 102.065473 2.374811 0, 102.061353 2.37897 0, 102.048865 2.377727 0, 102.038972 2.387672 0))",MOTOR ROUTE COVERAGE,AGH (CR - SMALL)
5,AGHBRVC001 (ODA),PENGKALAN	1.2km<br>MELAKA PINDAH	3.1km<br>PERINDUSTRIAN KELEMAK/RUMBIA	3.5km<br>LENDU DALAM	7.8km<br>DEPOT IMIGRESEN MACHAP UMBOO	9.1km<br>LENDU HILIR	9.7km<br>LENDU TENGAH	9.7km<br>MACHAP BARU	14.9km<br>AIR PASIR	16.5km<br>BUKIT PAYONG	16.8km,"POLYGON Z ((102.158437 2.360233 0, 102.16937 2.360809 0, 102.169434 2.351225 0, 102.160465 2.34042 0, 102.164885 2.326912 0, 102.17526 2.327302 0, 102.197244 2.318294 0, 102.206814 2.323654 0, 102.212436 2.31109 0, 102.213423 2.30886 0, 102.219388 2.309289 0, 102.224409 2.311476 0, 102.220504 2.321895 0, 102.219688 2.328628 0, 102.218315 2.353798 0, 102.219474 2.358043 0, 102.218948 2.368852 0, 102.223508 2.359458 0, 102.225997 2.357786 0, 102.230417 2.353712 0, 102.237026 2.352469 0, 102.246124 2.348181 0, 102.249085 2.351568 0, 102.250587 2.357571 0, 102.245652 2.371078 0, 102.25711 2.369191 0, 102.275478 2.379225 0, 102.2797858 2.3753894 0, 102.29096 2.373955 0, 102.298009 2.378796 0, 102.3030087 2.3783031 0, 102.3090276 2.379343 0, 102.3136678 2.3783193 0, 102.3177904 2.3779789 0, 102.3207958 2.3775514 0, 102.3241868 2.3754511 0, 102.3265689 2.3739721 0, 102.331526 2.37781 0, 102.340237 2.37498 0, 102.341096 2.377724 0, 102.3396072 2.3807826 0, 102.3449782 2.3849811 0, 102.3483967 2.3907661 0, 102.3475864 2.3913306 0, 102.334017 2.3855144 0, 102.3306334 2.3874033 0, 102.3285802 2.3870624 0, 102.3196377 2.382226 0, 102.3068274 2.38407 0, 102.3020584 2.3822799 0, 102.2966028 2.3823763 0, 102.2926921 2.3795571 0, 102.2882665 2.3786245 0, 102.282903 2.383813 0, 102.28286 2.388272 0, 102.279255 2.391231 0, 102.274834 2.390116 0, 102.265007 2.381755 0, 102.254235 2.382141 0, 102.242948 2.386257 0, 102.253978 2.396719 0, 102.26462 2.397148 0, 102.265007 2.406624 0, 102.26402 2.408704 0, 102.261278 2.40684 0, 102.2574 2.404141 0, 102.240061 2.392246 0, 102.235168 2.388928 0, 102.233516 2.386914 0, 102.225812 2.378894 0, 102.218603 2.374778 0, 102.201107 2.375585 0, 102.192338 2.382238 0, 102.180494 2.372634 0, 102.146433 2.360449 0, 102.158437 2.360233 0))",VAN ROUTE COVERAGE,AGH (CR - SMALL)
6,AGHBRVC002 (TOWN),PEKAN ALOR GAJAH	0.6km<br>GADEK	3.8km<br>PAYA DATUK	6.6km<br>MRSM	9km<br>SIMPANG EMPAT	9.7km<br>A'FAMOSA	10.7km<br>ADTEC	12km<br>BRISU	13.9km<br>SERI KENDONG	14.7km,"POLYGON Z ((102.11682 2.453102 0, 102.138737 2.439708 0, 102.137879 2.416983 0, 102.111958 2.405149 0, 102.12612 2.40189 0, 102.13436 2.397688 0, 102.13431 2.370051 0, 102.144395 2.369365 0, 102.146111 2.360575 0, 102.180494 2.372634 0, 102.192338 2.382238 0, 102.201107 2.375585 0, 102.218603 2.374778 0, 102.223323 2.377458 0, 102.225812 2.378894 0, 102.228302 2.381583 0, 102.235168 2.388928 0, 102.26402 2.408704 0, 102.263333 2.410397 0, 102.257625 2.412755 0, 102.25093 2.414299 0, 102.252476 2.416914 0, 102.259127 2.42013 0, 102.260887 2.425018 0, 102.258226 2.428191 0, 102.255823 2.435652 0, 102.251403 2.437067 0, 102.246746 2.440497 0, 102.244021 2.44099 0, 102.240159 2.439125 0, 102.235266 2.437431 0, 102.233249 2.43771 0, 102.225332 2.436981 0, 102.21898 2.444484 0, 102.217521 2.446156 0, 102.210698 2.448 0, 102.192845 2.447014 0, 102.184734 2.449029 0, 102.182588 2.465965 0, 102.186193 2.472782 0, 102.192716 2.472954 0, 102.194175 2.476212 0, 102.194497 2.479085 0, 102.179219 2.487746 0, 102.164885 2.47171 0, 102.150981 2.454903 0, 102.131411 2.450873 0, 102.11682 2.453102 0))",VAN ROUTE COVERAGE,AGH (CR - SMALL)
7,AGHBRVC003 (ODA),PAYA RUMPUT	11.7km<br>RANTAU PANJANG	12.9km<br>BRISU	13.9km<br>AIR LIMAU	15.6km<br>JERAM	18.5km<br>IKBN	19.6km<br>KKTM MASJID TANAH	22.8km<br>RAMUAN CHINA BESAR/KECHIL	24.6km,"POLYGON Z ((102.038972 2.387672 0, 102.048865 2.377727 0, 102.061353 2.37897 0, 102.065473 2.374811 0, 102.068563 2.368894 0, 102.072726 2.355001 0, 102.078949 2.342652 0, 102.071224 2.340508 0, 102.069495 2.338344 0, 102.067147 2.335534 0, 102.075558 2.327644 0, 102.085987 2.327386 0, 102.098346 2.329102 0, 102.106414 2.336777 0, 102.109649 2.343129 0, 102.111049 2.345868 0, 102.108303 2.350627 0, 102.10796 2.352771 0, 102.11062 2.354315 0, 102.117229 2.353114 0, 102.123581 2.355215 0, 102.134953 2.362162 0, 102.13431 2.370051 0, 102.13436 2.397688 0, 102.12612 2.40189 0, 102.111958 2.405149 0, 102.137879 2.416983 0, 102.138737 2.439708 0, 102.11682 2.453102 0, 102.109857 2.450962 0, 102.096221 2.446928 0, 102.087209 2.441869 0, 102.079398 2.44993 0, 102.070214 2.454646 0, 102.064206 2.453188 0, 102.063777 2.446585 0, 102.067553 2.440926 0, 102.065751 2.43518 0, 102.070042 2.423346 0, 102.063004 2.416314 0, 102.052104 2.412712 0, 102.054335 2.404137 0, 102.046782 2.395776 0, 102.039959 2.388272 0, 102.038972 2.387672 0))",VAN ROUTE COVERAGE,AGH (CR - SMALL)
8,AGHBRVC004 (ODA),PEKAN MASJID TANAH	15.9km<br>SOLOK DUKU	15.9km<br>PAYA MENGKUANG	22.6km<br>TANJUNG BIDARA	23.8km<br>DURIAN DAUN	24.1km<br>KUALA SUNGAI BARU	25.7km<br>AIR MOLEK	29.7km<br>LINGGI	31.3km,"POLYGON Z ((102.038972 2.387672 0, 102.026569 2.381755 0, 101.994672 2.392478 0, 101.991851 2.393675 0, 101.985371 2.393675 0, 101.982774 2.393246 0, 101.981626 2.391278 0, 101.974556 2.388937 0, 101.971675 2.389553 0, 101.97142 2.38831 0, 101.971192 2.387994 0, 101.970491 2.387782 0, 101.969747 2.387677 0, 101.969337 2.387762 0, 101.968895 2.387675 0, 101.968389 2.387223 0, 101.968248 2.386515 0, 101.968369 2.386362 0, 101.968436 2.386166 0, 101.968266 2.386102 0, 101.968349 2.385951 0, 101.969157 2.384719 0, 101.96886 2.384189 0, 101.968903 2.384024 0, 101.969224 2.383907 0, 101.969525 2.38365 0, 101.970136 2.382741 0, 101.971367 2.380616 0, 101.972532 2.378055 0, 101.97263 2.376951 0, 101.972471 2.376341 0, 101.972321 2.376301 0, 101.972011 2.376459 0, 101.971426 2.375987 0, 101.971714 2.375842 0, 101.97198 2.375985 0, 101.972467 2.375516 0, 101.972479 2.374677 0, 101.972561 2.374494 0, 101.972707 2.374473 0, 101.972914 2.374665 0, 101.973134 2.374385 0, 101.973354 2.373868 0, 101.973272 2.373436 0, 101.97357 2.373306 0, 101.973824 2.373433 0, 101.974269 2.372637 0, 101.974847 2.372642 0, 101.975892 2.37109 0, 101.977259 2.371178 0, 101.987473 2.36947 0, 101.995649 2.365332 0, 101.997365 2.368119 0, 101.999618 2.36857 0, 102.00303 2.368205 0, 102.009124 2.367305 0, 102.014553 2.365547 0, 102.021591 2.362224 0, 102.044701 2.346037 0, 102.052361 2.344472 0, 102.061674 2.335638 0, 102.067012 2.326753 0, 102.071577 2.317354 0, 102.074624 2.307406 0, 102.076061 2.302431 0, 102.078014 2.296728 0, 102.078746 2.295511 0, 102.081581 2.294765 0, 102.083558 2.292604 0, 102.084139 2.292016 0, 102.085192 2.292072 0, 102.086715 2.292083 0, 102.088582 2.291279 0, 102.08885 2.291916 0, 102.089805 2.292897 0, 102.090513 2.294345 0, 102.093946 2.298504 0, 102.095963 2.303907 0, 102.09592 2.308967 0, 102.099912 2.322346 0, 102.104675 2.325519 0, 102.116048 2.328735 0, 102.122571 2.326762 0, 102.12197 2.3297 0, 102.12315 2.332937 0, 102.122742 2.346573 0, 102.129652 2.35041 0, 102.142312 2.35264 0, 102.146111 2.360575 0, 102.145854 2.364563 0, 102.144395 2.369365 0, 102.13431 2.370051 0, 102.134953 2.362162 0, 102.123581 2.355215 0, 102.117229 2.353114 0, 102.11062 2.354315 0, 102.10796 2.352771 0, 102.108303 2.350627 0, 102.111049 2.345868 0, 102.106414 2.336777 0, 102.098346 2.329102 0, 102.085987 2.327386 0, 102.075558 2.327644 0, 102.067147 2.335534 0, 102.071224 2.340508 0, 102.078949 2.342652 0, 102.072726 2.355001 0, 102.068563 2.368894 0, 102.065473 2.374811 0, 102.061353 2.37897 0, 102.048865 2.377727 0, 102.038972 2.387672 0))",VAN ROUTE COVERAGE,AGH (CR - SMALL)
9,Office Felda Tun Ghafar Hutan Percha,,POINT Z (102.301178 2.443032 0),ODA - THURSDAY ONLY WEF. 010721,AGH (CR - SMALL)
