,Name,Description,geometry,route_type,branch_no
0,GDEX AGH,,POINT (102.2163376 2.3845398),GDEX BRANCH,AGH (CR - SMALL)
1,AGHBRMC001 (TOWN),PEKAN ALOR GAJAH	0.6km<br>GADEK	3.8km<br>PAYA DATUK	6.6km<br>MRSM 	9km<br>SIMPANG EMPAT	9.7km<br>A'FAMOSA	10.7km<br>ADTEC	12km<br>BRISU	13.9km<br>SERI KENDONG	14.7km,"POLYGON ((102.11682 2.453102, 102.138737 2.439708, 102.137879 2.416983, 102.111958 2.405149, 102.12612 2.40189, 102.13436 2.397688, 102.13431 2.370051, 102.144395 2.369365, 102.146111 2.360575, 102.180494 2.372634, 102.192338 2.382238, 102.201107 2.375585, 102.218603 2.374778, 102.223323 2.377458, 102.225812 2.378894, 102.228302 2.381583, 102.235168 2.388928, 102.26402 2.408704, 102.263333 2.410397, 102.257625 2.412755, 102.25093 2.414299, 102.252476 2.416914, 102.259127 2.42013, 102.260887 2.425018, 102.258226 2.428191, 102.255823 2.435652, 102.251403 2.437067, 102.246746 2.440497, 102.244021 2.44099, 102.240159 2.439125, 102.235266 2.437431, 102.233249 2.43771, 102.225332 2.436981, 102.21898 2.444484, 102.217521 2.446156, 102.210698 2.448, 102.192845 2.447014, 102.184734 2.449029, 102.182588 2.465965, 102.186193 2.472782, 102.192716 2.472954, 102.194175 2.476212, 102.194497 2.479085, 102.179219 2.487746, 102.164885 2.47171, 102.150981 2.454903, 102.131411 2.450873, 102.11682 2.453102))",MOTOR ROUTE COVERAGE,AGH (CR - SMALL)
2,AGHBRMC002 (ODA),PENGKALAN	1.2km<br>MELAKA PINDAH	3.1km<br>PERINDUSTRIAN KELEMAK/RUMBIA	3.5km<br>LENDU DALAM	7.8km<br>REMBIA	7.8km<br>DEPOT IMIGRESEN MACHAP UMBOO	9.1km<br>LENDU HILIR	9.7km<br>LENDU TENGAH	9.7km<br>MACHAP BARU	14.9km<br>AIR PASIR	16.5km,"POLYGON ((102.158437 2.360233, 102.16937 2.360809, 102.169434 2.351225, 102.160465 2.34042, 102.164885 2.326912, 102.17526 2.327302, 102.197244 2.318294, 102.206814 2.323654, 102.212436 2.31109, 102.213423 2.30886, 102.219388 2.309289, 102.224409 2.311476, 102.220504 2.321895, 102.219688 2.328628, 102.218315 2.353798, 102.219474 2.358043, 102.218948 2.368852, 102.223508 2.359458, 102.225997 2.357786, 102.230417 2.353712, 102.237026 2.352469, 102.246124 2.348181, 102.249085 2.351568, 102.250587 2.357571, 102.245652 2.371078, 102.25711 2.369191, 102.275478 2.379225, 102.29096 2.373955, 102.298009 2.378796, 102.331526 2.37781, 102.340237 2.37498, 102.341096 2.377724, 102.331815 2.383902, 102.334186 2.389258, 102.287494 2.378796, 102.282903 2.383813, 102.28286 2.388272, 102.279255 2.391231, 102.274834 2.390116, 102.265007 2.381755, 102.254235 2.382141, 102.242948 2.386257, 102.253978 2.396719, 102.26462 2.397148, 102.265007 2.406624, 102.26402 2.408704, 102.261278 2.40684, 102.2574 2.404141, 102.240061 2.392246, 102.235168 2.388928, 102.233516 2.386914, 102.225812 2.378894, 102.218603 2.374778, 102.201107 2.375585, 102.192338 2.382238, 102.180494 2.372634, 102.146433 2.360449, 102.158437 2.360233))",MOTOR ROUTE COVERAGE,AGH (CR - SMALL)
3,AGHBRMC003 (ODA) Tuesday & Thursday,PAYA RUMPUT	11.7km<br>RANTAU PANJANG	12.9km<br>BRISU	13.9km<br>AIR LIMAU	15.6km<br>PEKAN MASJID TANAH	15.9km<br>SOLOK DUKU	15.9km<br>JERAM	18.5km<br>IKBN	19.6km<br>PAYA MENGKUANG	22.6km<br>KKTM MASJID TANAH	22.8km<br>TANJUNG BIDARA	23.8km<br>DURIAN DAUN	24.1km<br>RAMUAN CHINA BESAR/KECHIL	24.6km<br>KUALA SUNGAI BARU	25.7km<br>AIR MOLEK	29.7km<br>LINGGI	31.3km,"POLYGON ((102.038972 2.387672, 102.048865 2.377727, 102.061353 2.37897, 102.065473 2.374811, 102.068563 2.368894, 102.072726 2.355001, 102.078949 2.342652, 102.071224 2.340508, 102.069495 2.338344, 102.067147 2.335534, 102.075558 2.327644, 102.085987 2.327386, 102.098346 2.329102, 102.106414 2.336777, 102.109649 2.343129, 102.111049 2.345868, 102.108303 2.350627, 102.10796 2.352771, 102.11062 2.354315, 102.117229 2.353114, 102.123581 2.355215, 102.134953 2.362162, 102.13431 2.370051, 102.13436 2.397688, 102.12612 2.40189, 102.111958 2.405149, 102.137879 2.416983, 102.138737 2.439708, 102.11682 2.453102, 102.109857 2.450962, 102.096221 2.446928, 102.087209 2.441869, 102.079398 2.44993, 102.070214 2.454646, 102.064206 2.453188, 102.063777 2.446585, 102.067553 2.440926, 102.065751 2.43518, 102.070042 2.423346, 102.063004 2.416314, 102.052104 2.412712, 102.054335 2.404137, 102.046782 2.395776, 102.039959 2.388272, 102.038972 2.387672))",MOTOR ROUTE COVERAGE,AGH (CR - SMALL)
4,"AGHBRMC003 (ODA) Monday,Wednesday & Friday",PAYA RUMPUT 11.7km<br>RANTAU PANJANG 12.9km<br>BRISU 13.9km<br>AIR LIMAU 15.6km<br>PEKAN MASJID TANAH 15.9km<br>SOLOK DUKU 15.9km<br>JERAM 18.5km<br>IKBN 19.6km<br>PAYA MENGKUANG 22.6km<br>KKTM MASJID TANAH 22.8km<br>TANJUNG BIDARA 23.8km<br>DURIAN DAUN 24.1km<br>RAMUAN CHINA BESAR/KECHIL 24.6km<br>KUALA SUNGAI BARU 25.7km<br>AIR MOLEK 29.7km<br>LINGGI 31.3km,"POLYGON ((102.038972 2.387672, 102.026569 2.381755, 101.994672 2.392478, 101.991851 2.393675, 101.985371 2.393675, 101.982774 2.393246, 101.981626 2.391278, 101.974556 2.388937, 101.971675 2.389553, 101.97142 2.38831, 101.971192 2.387994, 101.970491 2.387782, 101.969747 2.387677, 101.969337 2.387762, 101.968895 2.387675, 101.968389 2.387223, 101.968248 2.386515, 101.968369 2.386362, 101.968436 2.386166, 101.968266 2.386102, 101.968349 2.385951, 101.969157 2.384719, 101.96886 2.384189, 101.968903 2.384024, 101.969224 2.383907, 101.969525 2.38365, 101.970136 2.382741, 101.971367 2.380616, 101.972532 2.378055, 101.97263 2.376951, 101.972471 2.376341, 101.972321 2.376301, 101.972011 2.376459, 101.971426 2.375987, 101.971714 2.375842, 101.97198 2.375985, 101.972467 2.375516, 101.972479 2.374677, 101.972561 2.374494, 101.972707 2.374473, 101.972914 2.374665, 101.973134 2.374385, 101.973354 2.373868, 101.973272 2.373436, 101.97357 2.373306, 101.973824 2.373433, 101.974269 2.372637, 101.974847 2.372642, 101.975892 2.37109, 101.977259 2.371178, 101.987473 2.36947, 101.995649 2.365332, 101.997365 2.368119, 101.999618 2.36857, 102.00303 2.368205, 102.009124 2.367305, 102.014553 2.365547, 102.021591 2.362224, 102.044701 2.346037, 102.052361 2.344472, 102.061674 2.335638, 102.067012 2.326753, 102.071577 2.317354, 102.074624 2.307406, 102.076061 2.302431, 102.078014 2.296728, 102.078746 2.295511, 102.081581 2.294765, 102.083558 2.292604, 102.084139 2.292016, 102.085192 2.292072, 102.086715 2.292083, 102.088582 2.291279, 102.08885 2.291916, 102.089805 2.292897, 102.090513 2.294345, 102.093946 2.298504, 102.095963 2.303907, 102.09592 2.308967, 102.099912 2.322346, 102.104675 2.325519, 102.116048 2.328735, 102.122571 2.326762, 102.12197 2.3297, 102.12315 2.332937, 102.122742 2.346573, 102.129652 2.35041, 102.142312 2.35264, 102.146111 2.360575, 102.145854 2.364563, 102.144395 2.369365, 102.13431 2.370051, 102.134953 2.362162, 102.123581 2.355215, 102.117229 2.353114, 102.11062 2.354315, 102.10796 2.352771, 102.108303 2.350627, 102.111049 2.345868, 102.106414 2.336777, 102.098346 2.329102, 102.085987 2.327386, 102.075558 2.327644, 102.067147 2.335534, 102.071224 2.340508, 102.078949 2.342652, 102.072726 2.355001, 102.068563 2.368894, 102.065473 2.374811, 102.061353 2.37897, 102.048865 2.377727, 102.038972 2.387672))",MOTOR ROUTE COVERAGE,AGH (CR - SMALL)
5,AGHBRVC001 (ODA),PENGKALAN	1.2km<br>MELAKA PINDAH	3.1km<br>PERINDUSTRIAN KELEMAK/RUMBIA	3.5km<br>LENDU DALAM	7.8km<br>DEPOT IMIGRESEN MACHAP UMBOO	9.1km<br>LENDU HILIR	9.7km<br>LENDU TENGAH	9.7km<br>MACHAP BARU	14.9km<br>AIR PASIR	16.5km<br>BUKIT PAYONG	16.8km,"POLYGON ((102.158437 2.360233, 102.16937 2.360809, 102.169434 2.351225, 102.160465 2.34042, 102.164885 2.326912, 102.17526 2.327302, 102.197244 2.318294, 102.206814 2.323654, 102.212436 2.31109, 102.213423 2.30886, 102.219388 2.309289, 102.224409 2.311476, 102.220504 2.321895, 102.219688 2.328628, 102.218315 2.353798, 102.219474 2.358043, 102.218948 2.368852, 102.223508 2.359458, 102.225997 2.357786, 102.230417 2.353712, 102.237026 2.352469, 102.246124 2.348181, 102.249085 2.351568, 102.250587 2.357571, 102.245652 2.371078, 102.25711 2.369191, 102.275478 2.379225, 102.2797858 2.3753894, 102.29096 2.373955, 102.298009 2.378796, 102.3030087 2.3783031, 102.3090276 2.379343, 102.3136678 2.3783193, 102.3177904 2.3779789, 102.3207958 2.3775514, 102.3241868 2.3754511, 102.3265689 2.3739721, 102.331526 2.37781, 102.340237 2.37498, 102.341096 2.377724, 102.3396072 2.3807826, 102.3449782 2.3849811, 102.3483967 2.3907661, 102.3475864 2.3913306, 102.334017 2.3855144, 102.3306334 2.3874033, 102.3285802 2.3870624, 102.3196377 2.382226, 102.3068274 2.38407, 102.3020584 2.3822799, 102.2966028 2.3823763, 102.2926921 2.3795571, 102.2882665 2.3786245, 102.282903 2.383813, 102.28286 2.388272, 102.279255 2.391231, 102.274834 2.390116, 102.265007 2.381755, 102.254235 2.382141, 102.242948 2.386257, 102.253978 2.396719, 102.26462 2.397148, 102.265007 2.406624, 102.26402 2.408704, 102.261278 2.40684, 102.2574 2.404141, 102.240061 2.392246, 102.235168 2.388928, 102.233516 2.386914, 102.225812 2.378894, 102.218603 2.374778, 102.201107 2.375585, 102.192338 2.382238, 102.180494 2.372634, 102.146433 2.360449, 102.158437 2.360233))",VAN ROUTE COVERAGE,AGH (CR - SMALL)
6,AGHBRVC002 (TOWN),PEKAN ALOR GAJAH	0.6km<br>GADEK	3.8km<br>PAYA DATUK	6.6km<br>MRSM	9km<br>SIMPANG EMPAT	9.7km<br>A'FAMOSA	10.7km<br>ADTEC	12km<br>BRISU	13.9km<br>SERI KENDONG	14.7km,"POLYGON ((102.11682 2.453102, 102.138737 2.439708, 102.137879 2.416983, 102.111958 2.405149, 102.12612 2.40189, 102.13436 2.397688, 102.13431 2.370051, 102.144395 2.369365, 102.146111 2.360575, 102.180494 2.372634, 102.192338 2.382238, 102.201107 2.375585, 102.218603 2.374778, 102.223323 2.377458, 102.225812 2.378894, 102.228302 2.381583, 102.235168 2.388928, 102.26402 2.408704, 102.263333 2.410397, 102.257625 2.412755, 102.25093 2.414299, 102.252476 2.416914, 102.259127 2.42013, 102.260887 2.425018, 102.258226 2.428191, 102.255823 2.435652, 102.251403 2.437067, 102.246746 2.440497, 102.244021 2.44099, 102.240159 2.439125, 102.235266 2.437431, 102.233249 2.43771, 102.225332 2.436981, 102.21898 2.444484, 102.217521 2.446156, 102.210698 2.448, 102.192845 2.447014, 102.184734 2.449029, 102.182588 2.465965, 102.186193 2.472782, 102.192716 2.472954, 102.194175 2.476212, 102.194497 2.479085, 102.179219 2.487746, 102.164885 2.47171, 102.150981 2.454903, 102.131411 2.450873, 102.11682 2.453102))",VAN ROUTE COVERAGE,AGH (CR - SMALL)
7,AGHBRVC003 (ODA),PAYA RUMPUT	11.7km<br>RANTAU PANJANG	12.9km<br>BRISU	13.9km<br>AIR LIMAU	15.6km<br>JERAM	18.5km<br>IKBN	19.6km<br>KKTM MASJID TANAH	22.8km<br>RAMUAN CHINA BESAR/KECHIL	24.6km,"POLYGON ((102.038972 2.387672, 102.048865 2.377727, 102.061353 2.37897, 102.065473 2.374811, 102.068563 2.368894, 102.072726 2.355001, 102.078949 2.342652, 102.071224 2.340508, 102.069495 2.338344, 102.067147 2.335534, 102.075558 2.327644, 102.085987 2.327386, 102.098346 2.329102, 102.106414 2.336777, 102.109649 2.343129, 102.111049 2.345868, 102.108303 2.350627, 102.10796 2.352771, 102.11062 2.354315, 102.117229 2.353114, 102.123581 2.355215, 102.134953 2.362162, 102.13431 2.370051, 102.13436 2.397688, 102.12612 2.40189, 102.111958 2.405149, 102.137879 2.416983, 102.138737 2.439708, 102.11682 2.453102, 102.109857 2.450962, 102.096221 2.446928, 102.087209 2.441869, 102.079398 2.44993, 102.070214 2.454646, 102.064206 2.453188, 102.063777 2.446585, 102.067553 2.440926, 102.065751 2.43518, 102.070042 2.423346, 102.063004 2.416314, 102.052104 2.412712, 102.054335 2.404137, 102.046782 2.395776, 102.039959 2.388272, 102.038972 2.387672))",VAN ROUTE COVERAGE,AGH (CR - SMALL)
8,AGHBRVC004 (ODA),PEKAN MASJID TANAH	15.9km<br>SOLOK DUKU	15.9km<br>PAYA MENGKUANG	22.6km<br>TANJUNG BIDARA	23.8km<br>DURIAN DAUN	24.1km<br>KUALA SUNGAI BARU	25.7km<br>AIR MOLEK	29.7km<br>LINGGI	31.3km,"POLYGON ((102.038972 2.387672, 102.026569 2.381755, 101.994672 2.392478, 101.991851 2.393675, 101.985371 2.393675, 101.982774 2.393246, 101.981626 2.391278, 101.974556 2.388937, 101.971675 2.389553, 101.97142 2.38831, 101.971192 2.387994, 101.970491 2.387782, 101.969747 2.387677, 101.969337 2.387762, 101.968895 2.387675, 101.968389 2.387223, 101.968248 2.386515, 101.968369 2.386362, 101.968436 2.386166, 101.968266 2.386102, 101.968349 2.385951, 101.969157 2.384719, 101.96886 2.384189, 101.968903 2.384024, 101.969224 2.383907, 101.969525 2.38365, 101.970136 2.382741, 101.971367 2.380616, 101.972532 2.378055, 101.97263 2.376951, 101.972471 2.376341, 101.972321 2.376301, 101.972011 2.376459, 101.971426 2.375987, 101.971714 2.375842, 101.97198 2.375985, 101.972467 2.375516, 101.972479 2.374677, 101.972561 2.374494, 101.972707 2.374473, 101.972914 2.374665, 101.973134 2.374385, 101.973354 2.373868, 101.973272 2.373436, 101.97357 2.373306, 101.973824 2.373433, 101.974269 2.372637, 101.974847 2.372642, 101.975892 2.37109, 101.977259 2.371178, 101.987473 2.36947, 101.995649 2.365332, 101.997365 2.368119, 101.999618 2.36857, 102.00303 2.368205, 102.009124 2.367305, 102.014553 2.365547, 102.021591 2.362224, 102.044701 2.346037, 102.052361 2.344472, 102.061674 2.335638, 102.067012 2.326753, 102.071577 2.317354, 102.074624 2.307406, 102.076061 2.302431, 102.078014 2.296728, 102.078746 2.295511, 102.081581 2.294765, 102.083558 2.292604, 102.084139 2.292016, 102.085192 2.292072, 102.086715 2.292083, 102.088582 2.291279, 102.08885 2.291916, 102.089805 2.292897, 102.090513 2.294345, 102.093946 2.298504, 102.095963 2.303907, 102.09592 2.308967, 102.099912 2.322346, 102.104675 2.325519, 102.116048 2.328735, 102.122571 2.326762, 102.12197 2.3297, 102.12315 2.332937, 102.122742 2.346573, 102.129652 2.35041, 102.142312 2.35264, 102.146111 2.360575, 102.145854 2.364563, 102.144395 2.369365, 102.13431 2.370051, 102.134953 2.362162, 102.123581 2.355215, 102.117229 2.353114, 102.11062 2.354315, 102.10796 2.352771, 102.108303 2.350627, 102.111049 2.345868, 102.106414 2.336777, 102.098346 2.329102, 102.085987 2.327386, 102.075558 2.327644, 102.067147 2.335534, 102.071224 2.340508, 102.078949 2.342652, 102.072726 2.355001, 102.068563 2.368894, 102.065473 2.374811, 102.061353 2.37897, 102.048865 2.377727, 102.038972 2.387672))",VAN ROUTE COVERAGE,AGH (CR - SMALL)
9,Office Felda Tun Ghafar Hutan Percha,,POINT (102.301178 2.443032),ODA - THURSDAY ONLY WEF. 010721,AGH (CR - SMALL)
