vehicle_no,<5,duration <5,>=5 and <10,duration >=5 and <10,>=10,duration >=10,total_idle_count,total_idle_duration
BHE144,1.0,4.5,0.0,0.0,0.0,0.0,1.0,4.5
BHE185,2.0,3.04,0.0,0.0,1.0,24.45,3.0,27.49
BHG7093,6.0,7.630000000000001,1.0,7.65,0.0,0.0,7.0,15.280000000000001
BHG7095,2.0,5.45,0.0,0.0,0.0,0.0,2.0,5.45
BHG9852,7.0,10.57,1.0,7.4,2.0,28.17,10.0,46.14
BHG9856,3.0,2.9,1.0,5.28,0.0,0.0,4.0,8.18
BHH1086,6.0,10.27,3.0,22.85,2.0,22.1,11.0,55.220000000000006
BHH1090,7.0,12.47,0.0,0.0,0.0,0.0,7.0,12.47
BHL7165,2.0,1.53,0.0,0.0,0.0,0.0,2.0,1.53
BHL7351,1.0,0.53,0.0,0.0,0.0,0.0,1.0,0.53
BHU901,2.0,1.37,0.0,0.0,0.0,0.0,2.0,1.37
BHU903,3.0,4.04,0.0,0.0,0.0,0.0,3.0,4.04
BHU994,6.0,8.28,0.0,0.0,1.0,11.15,7.0,19.43
BJB2161,4.0,7.87,0.0,0.0,1.0,22.77,5.0,30.64
BJB2478,4.0,4.41,0.0,0.0,1.0,14.77,5.0,19.18
BJB270,2.0,1.71,1.0,5.62,0.0,0.0,3.0,7.33
BJB4653,1.0,1.1,0.0,0.0,0.0,0.0,1.0,1.1
BJM3929,4.0,3.82,0.0,0.0,0.0,0.0,4.0,3.82
BJM3936,11.0,17.27,1.0,5.4,1.0,20.07,13.0,42.74
BJM3942,1.0,1.35,0.0,0.0,0.0,0.0,1.0,1.35
BJM3952,8.0,11.51,0.0,0.0,0.0,0.0,8.0,11.51
BJN8974,4.0,2.19,1.0,5.17,0.0,0.0,5.0,7.359999999999999
BJN8977,1.0,2.03,1.0,7.8,0.0,0.0,2.0,9.83
BJN8984,1.0,0.53,0.0,0.0,0.0,0.0,1.0,0.53
BJP1472,11.0,15.209999999999999,3.0,22.830000000000002,0.0,0.0,14.0,38.04
BJP1473,1.0,2.55,0.0,0.0,0.0,0.0,1.0,2.55
BJP2081,3.0,1.83,0.0,0.0,0.0,0.0,3.0,1.83
BJP2084,4.0,9.78,0.0,0.0,0.0,0.0,4.0,9.78
BJP4735,3.0,10.16,2.0,13.940000000000001,0.0,0.0,5.0,24.1
BJR2246,2.0,1.65,0.0,0.0,0.0,0.0,2.0,1.65
BJR2253,4.0,8.85,0.0,0.0,0.0,0.0,4.0,8.85
BJR2256,1.0,0.82,0.0,0.0,0.0,0.0,1.0,0.82
BJR2267,5.0,5.62,0.0,0.0,0.0,0.0,5.0,5.62
BJR2270,1.0,0.87,0.0,0.0,0.0,0.0,1.0,0.87
BJS5579,3.0,2.75,0.0,0.0,0.0,0.0,3.0,2.75
BJS5584,5.0,6.34,0.0,0.0,0.0,0.0,5.0,6.34
BJS5873,1.0,0.38,0.0,0.0,0.0,0.0,1.0,0.38
BJS5877,3.0,5.13,0.0,0.0,0.0,0.0,3.0,5.13
BJT7060,6.0,10.540000000000001,2.0,15.02,1.0,14.1,9.0,39.660000000000004
BKA8249,1.0,0.58,0.0,0.0,0.0,0.0,1.0,0.58
BKB5203,1.0,0.68,0.0,0.0,0.0,0.0,1.0,0.68
BKC1056,3.0,6.0,0.0,0.0,0.0,0.0,3.0,6.0
BKD9962,4.0,5.71,0.0,0.0,0.0,0.0,4.0,5.71
BKE102,1.0,1.53,1.0,5.47,0.0,0.0,2.0,7.0
BKG2441,1.0,3.55,0.0,0.0,0.0,0.0,1.0,3.55
BKH1406,3.0,4.41,2.0,11.43,0.0,0.0,5.0,15.84
BKH1443,2.0,7.25,0.0,0.0,0.0,0.0,2.0,7.25
BKH1453,3.0,4.18,0.0,0.0,0.0,0.0,3.0,4.18
BKH2090,2.0,4.15,0.0,0.0,0.0,0.0,2.0,4.15
BKP3235,1.0,0.73,0.0,0.0,0.0,0.0,1.0,0.73
BKP3237,1.0,3.5,0.0,0.0,0.0,0.0,1.0,3.5
BKP3254,3.0,3.67,0.0,0.0,0.0,0.0,3.0,3.67
BKP3260,1.0,0.77,1.0,6.23,0.0,0.0,2.0,7.0
BKS6112,1.0,0.9,0.0,0.0,0.0,0.0,1.0,0.9
BKS6131,9.0,3.67,0.0,0.0,1.0,21.65,10.0,25.32
BKS6141,2.0,1.85,0.0,0.0,0.0,0.0,2.0,1.85
BKS7619,3.0,6.119999999999999,1.0,5.42,1.0,16.95,5.0,28.49
BKU2491,5.0,6.84,1.0,9.63,0.0,0.0,6.0,16.47
BKV2873,6.0,11.81,2.0,15.17,0.0,0.0,8.0,26.98
BKV4941,1.0,4.48,0.0,0.0,0.0,0.0,1.0,4.48
BKX2171,17.0,37.0,1.0,5.37,0.0,0.0,18.0,42.37
BKX2179,5.0,4.57,1.0,5.3,0.0,0.0,6.0,9.870000000000001
BLB3910,1.0,1.03,0.0,0.0,0.0,0.0,1.0,1.03
BLD2225,2.0,3.48,1.0,8.63,0.0,0.0,3.0,12.110000000000001
BLE8061,11.0,24.009999999999998,2.0,12.02,0.0,0.0,13.0,36.03
BLE8069,3.0,5.0,0.0,0.0,0.0,0.0,3.0,5.0
BLE8076,4.0,7.19,0.0,0.0,0.0,0.0,4.0,7.19
BLF337,1.0,0.3,0.0,0.0,0.0,0.0,1.0,0.3
BLF3804,3.0,3.6100000000000003,0.0,0.0,0.0,0.0,3.0,3.6100000000000003
BLF3849,4.0,10.29,0.0,0.0,0.0,0.0,4.0,10.29
BLF3861,4.0,5.779999999999999,0.0,0.0,1.0,30.82,5.0,36.6
BLF4515,3.0,3.0300000000000002,0.0,0.0,0.0,0.0,3.0,3.0300000000000002
BLF6254,4.0,3.75,0.0,0.0,0.0,0.0,4.0,3.75
BLF6375,1.0,1.95,0.0,0.0,0.0,0.0,1.0,1.95
BLF6377,8.0,18.2,2.0,16.53,1.0,10.93,11.0,45.660000000000004
BLF6378,1.0,3.75,0.0,0.0,0.0,0.0,1.0,3.75
BLF6379,5.0,10.16,0.0,0.0,0.0,0.0,5.0,10.16
