vehicle_no,total_mileage
BHG7091,13.21
BHG7092,13.26
BHG7093,78.97
BHG9852,25.27
BHG9856,24.4
BHG9885,15.86
BHH1086,56.88
BHH1090,20.68
BHL7165,47.97
BHU901,30.72
BHU903,38.01
BJB2161,38.55
BJB2493,13.25
BJB461,35.36
BJB4653,85.51
BJM3929,29.02
BJM3936,56.67
BJM3942,28.16
BJM3952,33.91
BJM3959,94.73
BJN8974,8.21
BJN8977,66.84
BJN8984,51.14
BJP1472,95.49
BJP1473,227.3
BJP2084,29.11
BJP4735,20.51
BJR2246,84.87
BJR2253,74.47
BJR2256,96.8
BJR2263,58.1
BJR2270,36.49
BJR8827,55.6
BJS475,31.27
BJS5579,31.37
BJS5584,7.55
BJS5877,36.21
BJT7060,44.94
BJT7069,21.99
BKA8235,133.18
BKA8249,93.38
BKB5203,49.84
BKC1056,96.4
BKD9962,24.12
BKE102,36.61
BKE137,7.71
BKG2441,14.51
BKG2456,58.7
BKG8772,30.98
BKH1406,44.93
BKH1443,15.95
BKH2090,8.46
BKH2096,5.4
BKP3235,100.1
BKP3237,124.7
BKP3254,161.9
BKP3260,82.9
BKS6112,53.07
BKS6131,7.74
BKS6141,27.13
BKS7619,35.81
BKT5377,52.96
BKU2491,32.44
BKV2635,8.54
BKV2873,118.07
BKV4941,35.93
BKX2171,20.55
BKX2179,36.63
BLD2225,104.39
BLE8061,33.61
BLE8069,7.05
BLE8076,85.92
BLF337,57.6
BLF3849,59.23
BLF3861,53.65
BLF4515,63.73
BLF6254,43.53
BLF6375,8.2
BLF6377,26.72
BLF6379,43.64
BLF7491,61.4
BLF7584,79.86
BLF9073,31.2
BLG2085,36.8
BLL1059,23.03
BLL954,9.77
BLQ4487,137.92
BLR8652,166.82
BLS3739,39.5
BLS3759,30.84
BLS3766,38.77
BLS6285,159.99
BLS6320,56.44
BLU7340,43.4
BLU7414,57.23
BLV6745,121.47
BLV6748,35.77
BLV6751,21.45
BLV719,44.4
BLV8576,30.46
BLW482,32.98
BMA1255,65.5
BMA5144,50.73
BMA5208,38.2
BMA5387,27.94
BMA6025,58.61
BMA751,57.78
BMA755,73.01
BMA772,21.86
BMA774,41.17
BMA805,52.22
BMA841,119.35
BMB5182,31.54
BMB5191,38.23
BMB5293,56.05
BMB9768,36.88
BMB9820,61.14
BMD1572,27.21
BMD1579,55.4
BMD1588,27.6
BMD9723,16.72
BMD9735,59.76
BME3342,26.38
BME3409,89.85
BMF2943,38.8
BMG7846,52.56
BMH6538,30.81
BMH6549,38.36
BMH6552,40.8
BMJ5654,8.11
BMJ6587,40.8
BMJ6594,38.06
BMJ6601,11.41
BMJ7052,83.73
BMJ8375,34.33
BMJ8433,29.23
BMK1393,162.2
BMK1397,72.4
BMK1462,24.43
BMK1536,107.4
BMK1554,46.59
BMK1568,39.12
BMK1590,51.18
BMK1606,41.73
BMK1826,14.78
BMK2464,66.95
BMK2478,32.43
BMK3856,56.95
BMK3976,55.58
BMK4069,64.29
BMK4077,48.63
BMK4484,33.05
BMK4494,51.02
BMK4498,6.49
BMK4575,144.82
BMK4586,93.15
BMK4628,43.95
BMK4633,66.58
BML5329,10.37
BML5365,34.89
BMR8499,38.47
BMS4109,58.93
BMS4115,36.73
BMS4136,42.47
BMS4235,90.0
BMS4297,72.71
BMS4376,46.15
BMS4943,83.27
BMS6467,105.02
BMS7951,17.39
BMS7955,37.81
BMT2570,748.85
BMT4198,34.69
BMU2584,28.0
BMU2589,49.86
BMY6017,49.93
BMY6047,12.16
BMY6073,72.01
BMY6120,21.34
BNA207,8.4
BNA231,42844537.0
BNA251,86.49
BNA276,51.95
BNA281,55.48
BNA287,68.05
BNA295,35.45
BNA296,40.85
BNA305,151.6
BNA4593,85.9
BNA5040,265.71
BNA5045,235.45
BNB1530,5.45
BNB1969,62.28
BNB1993,61.6
BNB3412,57.5
BNB3413,23.2
BNB498,34.15
BNB502,455.59
BNB6469,42.52
BNC457,86.9
BNC462,70.8
BNC467,83.5
BNC4727,460.45
BNC6474,441.21
BND6482,192.02
BNE1700,20.36
BNE1710,30.41
BNE1723,112.4
BNE1730,71.32
BNE1742,27.5
BNE1747,23.14
BNE3234,78.18
BNE3237,39.63
BNE3243,79.8
BNE3251,59.67
BNE5954,77.4
BNE6172,47.87
BNE6175,37.3
BNE8013,69.42
BNF8549,331.44
BNJ6053,438.9
BNP5589,47.25
BNP5607,45.24
BNP6701,10.8
BNP6717,81.31
BNP6720,88.9
BNP6724,123.2
BNP6727,42.7
BNP6740,60.0
BNP6901,80.5
BNP9470,40.37
BNP9479,29.6
BNP9482,31.8
BNQ1283,89.3
BNQ1307,33.7
BNQ1334,51.41
BNQ1437,37.2
BNQ1456,424.25
BNQ4066,480.1
BNQ5520,31.58
BNQ5527,548.14
BNQ553,46.06
BNQ589,34.03
BNR4602,162.7
BNR4610,48.4
BNR4612,42.06
BNR4615,50.2
BNR5495,525.77
BNS7284,43.9
BNS7285,454.59
BNS7291,170.88
BNT3057,66.8
BNT3079,43.85
BNT3080,65.87
BNT3095,26.38
BNT3106,29.11
BNT3150,14.98
BNT3160,64.9
BNT3482,37.77
BNT3556,51.2
BNT3560,48.7
BNT3562,32.88
BNT3567,58.8
BNT3569,7.0
BNT4207,48.1
BNT4214,25.66
BNT4217,40.76
BNT9506,46.86
BNT9509,30.5
BNT9517,51.15
BNT9529,86.9
BNT9531,46.7
BNU9825,54.35
BNU9841,11.19
BNW1579,266.46
BNX3235,320.8
BNX4115,402.2
BNX9372,181.7
BNX9380,528.52
BNY7446,214.86
BNY7454,141.78
BNY7458,51.3
BNY7460,68.3
BNY7521,102.9
BNY7536,102.13
BPA2835,86.91
BPA2838,105.1
BPA3056,385.2
BPA3249,34.09
BPA3253,52.0
BPA4796,386.24
BPA5493,424.53
BPA5642,365.06
BPA5670,46.74
BPA6204,80.87
BPA6209,43.85
BPA6971,210.03
BPA6976,51.34
BPA6987,169.47
BPA6997,9.4
BPA7006,62.9
BPA7019,24.31
BPA7029,97.3
BPA7032,12.28
BPA7039,46.31
BPB1467,53.71
BPB1474,34.78
BPB1478,111.05
BPB3115,383.3
BPB3117,47.58
BPB3127,9.44
BPB4383,71.81
BPB4386,47.54
BPB4388,37.55
BPB4390,101.38
BPB4393,60.87
BPB4394,47.52
BPB4998,114.29
BPB5006,45.41
BPB5015,37.03
BPB5016,60.94
BPB5021,59.43
BPB6203,236.7
BPB6204,49.72
BPB623,737.88
BPB624,98.28
BPB625,9.78
BPB631,25.32
BPB645,85.35
BPB648,82.23
BPB650,149.01
BPB651,55.71
BPB859,32.25
BPB861,92.83
BPB865,31.37
BPB870,67.44
BPB913,44.75
BPB940,68.41
BPB945,58.71
BPC1649,10.77
BPC1651,33.89
BPC1652,35.97
BPC1654,39.15
BPC4476,118.86
BPC4478,40.54
BPC4482,44.68
BPC4483,40.17
BPC4484,75.88
BPC4492,42.24
BPC7029,115.99
BPC7034,37.29
BPC9420,74.53
BPC9422,63.09
BPC9426,62.99
BPD2305,312.59
BPD2307,445.95
BPD2956,282.63
BPD2957,419.02
BPD316,396.97
BPD325,675.62
BPD326,719.49
BPD6195,66.08
