vehicle_no,80-90,90-100,100-110,>=110,total_speeding_count
BJN8984,1.0,0.0,0.0,0.0,1.0
BJT7060,1.0,1.0,0.0,0.0,2.0
BME3409,1.0,0.0,0.0,0.0,1.0
BMT2570,14.0,169.0,6.0,0.0,189.0
BND6482,1.0,6.0,3.0,0.0,10.0
BNQ1334,1.0,0.0,0.0,0.0,1.0
BNQ5527,13.0,46.0,0.0,0.0,59.0
BNR5495,5.0,55.0,3.0,0.0,63.0
BNX9372,3.0,2.0,1.0,0.0,6.0
BNX9380,4.0,28.0,0.0,0.0,32.0
BNY7454,1.0,0.0,0.0,0.0,1.0
BPA5493,7.0,70.0,0.0,0.0,77.0
BPD2307,6.0,79.0,0.0,0.0,85.0
BPD2956,1.0,23.0,3.0,0.0,27.0
BPD326,5.0,24.0,0.0,0.0,29.0
BPD9432,8.0,45.0,3.0,0.0,56.0
BPD9719,1.0,4.0,5.0,0.0,10.0
BPF5359,1.0,11.0,0.0,0.0,12.0
BPF9653,5.0,48.0,4.0,0.0,57.0
BPG9452,6.0,11.0,0.0,0.0,17.0
BPH1585,2.0,9.0,0.0,0.0,11.0
BPH7716,1.0,14.0,0.0,0.0,15.0
BPH825,3.0,29.0,3.0,0.0,35.0
BPH827,1.0,3.0,0.0,0.0,4.0
BPJ2054,1.0,9.0,0.0,0.0,10.0
BPL4461,9.0,32.0,0.0,0.0,41.0
BPL4463,5.0,9.0,0.0,0.0,14.0
BPM4333,3.0,15.0,0.0,0.0,18.0
BPN1249,1.0,4.0,0.0,0.0,5.0
BPN2317,21.0,89.0,0.0,0.0,110.0
BPN2340,4.0,13.0,41.0,5.0,63.0
BPN3473,2.0,20.0,8.0,0.0,30.0
BPN3790,1.0,6.0,0.0,1.0,8.0
BPQ7741,1.0,1.0,0.0,0.0,2.0
BPR8390,1.0,24.0,0.0,0.0,25.0
BQP7042,1.0,0.0,0.0,0.0,1.0
VBD8530,1.0,11.0,20.0,3.0,35.0
VBD8543,5.0,24.0,5.0,0.0,34.0
BJP1472,0.0,3.0,1.0,0.0,4.0
BJP1473,0.0,12.0,5.0,0.0,17.0
BKP3235,0.0,1.0,0.0,0.0,1.0
BLF7584,0.0,2.0,0.0,0.0,2.0
BLU7340,0.0,1.0,0.0,0.0,1.0
BMK4484,0.0,1.0,0.0,0.0,1.0
BNA305,0.0,5.0,0.0,0.0,5.0
BNC6474,0.0,4.0,0.0,0.0,4.0
BNJ6053,0.0,8.0,0.0,0.0,8.0
BNQ1456,0.0,1.0,0.0,0.0,1.0
BNQ4066,0.0,1.0,0.0,0.0,1.0
BNW1579,0.0,7.0,0.0,0.0,7.0
BPA3056,0.0,1.0,0.0,0.0,1.0
BPA5642,0.0,1.0,0.0,0.0,1.0
BPB623,0.0,14.0,11.0,1.0,26.0
BPB865,0.0,1.0,0.0,0.0,1.0
BPC7029,0.0,1.0,1.0,0.0,2.0
BPD2305,0.0,1.0,1.0,0.0,2.0
BPD2957,0.0,14.0,21.0,0.0,35.0
BPD9412,0.0,15.0,0.0,0.0,15.0
BPH7713,0.0,2.0,0.0,0.0,2.0
BPJ2064,0.0,9.0,0.0,0.0,9.0
BPK2648,0.0,10.0,0.0,0.0,10.0
BPL8574,0.0,1.0,0.0,0.0,1.0
BPN1259,0.0,1.0,0.0,0.0,1.0
BPN4750,0.0,10.0,0.0,0.0,10.0
BPN7958,0.0,2.0,0.0,0.0,2.0
BPR220,0.0,3.0,2.0,0.0,5.0
BPT6936,0.0,1.0,0.0,0.0,1.0
BPT6965,0.0,1.0,0.0,0.0,1.0
BPW2915,0.0,9.0,0.0,0.0,9.0
BPW9158,0.0,2.0,0.0,0.0,2.0
BPX1270,0.0,2.0,0.0,0.0,2.0
BPX4007,0.0,1.0,0.0,0.0,1.0
BPX5930,0.0,1.0,0.0,0.0,1.0
BPY7356,0.0,1.0,0.0,0.0,1.0
BQA9243,0.0,3.0,0.0,0.0,3.0
BQF3154,0.0,2.0,0.0,0.0,2.0
BQJ842,0.0,3.0,0.0,0.0,3.0
BQK621,0.0,1.0,0.0,0.0,1.0
BQM7514,0.0,3.0,0.0,0.0,3.0
BQM9835,0.0,9.0,0.0,0.0,9.0
BQQ9263,0.0,2.0,3.0,0.0,5.0
BQR4099,0.0,1.0,0.0,0.0,1.0
QAA4248V,0.0,1.0,0.0,0.0,1.0
QS3488G,0.0,1.0,0.0,2.0,3.0
SAC4121A,0.0,1.0,0.0,0.0,1.0
SMC5217,0.0,1.0,0.0,0.0,1.0
WNH4481,0.0,1.0,0.0,0.0,1.0
BJR2253,0.0,0.0,1.0,0.0,1.0
BKG2441,0.0,0.0,1.0,0.0,1.0
BPC1651,0.0,0.0,1.0,0.0,1.0
BPN7960,0.0,0.0,1.0,0.0,1.0
BQQ9264,0.0,0.0,2.0,0.0,2.0
BMD1579,0.0,0.0,0.0,1.0,1.0
