vehicle_no,name,mileage,total_mileage,percentage
BHB409,GDEX GPA,0.0,0.0,
BHB409,Other,0.0,0.0,
BHE144,CALTEX JLN KLANG LAMA PANTAI BARU HWY,5.3,422.35,0.012548833905528588
BHE144,GDEX (SAPURA),2.26,422.35,0.0053510121936782284
BHE144,GDEX HQ (PJY),0.44,422.35,0.0010417899846099207
BHE144,GDEX SGB,368.58,422.35,0.8726885284716467
BHE144,"JALAN TANDANG, PJ (LIMIT 60 KM/HRS)",45.77,422.35,0.10836983544453653
BHE144,Other,5.684341886080802e-14,422.35,1.3458841922767376e-16
BHE185,GDEX (SAPURA),0.6,43.19,0.01389210465385506
BHE185,GDEX HQ (PJY),0.0,43.19,0.0
BHE185,"JALAN TANDANG, PJ (LIMIT 60 KM/HRS)",23.77,43.19,0.5503588793702247
BHE185,JPJ PADANG JAWA,18.82,43.19,0.43574901597592036
BHE185,Other,0.0,43.19,0.0
BHE185,PUSPAKOM PADANG JAWA,0.0,43.19,0.0
BHE194,GDEX (SAPURA),0.14,115.56,0.0012114918656974732
BHE194,GDEX HQ (PJY),0.61,115.56,0.005278643129110419
BHE194,GDEX SGB,76.17,115.56,0.6591381100726895
BHE194,"JALAN TANDANG, PJ (LIMIT 60 KM/HRS)",38.64,115.56,0.3343717549325026
BHE194,Other,0.0,115.56,0.0
BHG7081,GDEX (SAPURA),0.27,6.37,0.0423861852433281
BHG7081,GDEX HQ (PJY),0.59,6.37,0.09262166405023547
BHG7081,"JALAN TANDANG, PJ (LIMIT 60 KM/HRS)",3.48,6.37,0.5463108320251178
BHG7081,Other,8.881784197001252e-16,6.37,1.3943146306124415e-16
BHG7081,PUSPAKOM PJCT,2.03,6.37,0.31868131868131866
BHG7091,FEDERAL HIGHWAY (LIMIT 80 KM/HRS),180.07,450.17,0.4000044427660661
BHG7091,GDEX (SAPURA),0.86,450.17,0.0019103894084456982
BHG7091,GDEX HQ (PJY),4.42,450.17,0.009818513006197658
BHG7091,GDEX PJY 223,51.43,450.17,0.1142457293911189
BHG7091,"JALAN TANDANG, PJ (LIMIT 60 KM/HRS)",162.16,450.17,0.36021947264366794
BHG7091,KOTA DARUL EHSAN,2.0,450.17,0.004442766066152786
BHG7091,Other,3.9499999999999886,450.17,0.008774462980651728
BHG7091,TECK ANG (AIRCOND WORKSHOP),45.28,450.17,0.1005842237376991
BHG7092,GDEX PUC,52.53,52.53,1.0
BHG7092,Other,0.0,52.53,0.0
BHG7093,FEDERAL HIGHWAY (LIMIT 80 KM/HRS),115.73,596.09,0.19414853461725579
BHG7093,GDEX (SAPURA),0.42,596.09,0.0007045915885185122
BHG7093,GDEX HQ (PJY),46.9,596.09,0.07867939405123386
BHG7093,GDEX PJY 223,58.51,596.09,0.09815631867670989
BHG7093,"JALAN TANDANG, PJ (LIMIT 60 KM/HRS)",340.29,596.09,0.5708701706118203
BHG7093,KOTA DARUL EHSAN,34.24,596.09,0.05744099045446158
BHG7093,Other,0.0,596.09,0.0
BHG7095,GDEX (SAPURA),2.9,30.0,0.09666666666666666
BHG7095,GDEX HQ (PJY),0.0,30.0,0.0
BHG7095,GDEX SBI,17.15,30.0,0.5716666666666667
BHG7095,"JALAN TANDANG, PJ (LIMIT 60 KM/HRS)",6.83,30.0,0.22766666666666666
BHG7095,Other,3.552713678800501e-15,30.0,1.1842378929335003e-16
BHG7095,PUSPAKOM PJCT,2.75,30.0,0.09166666666666666
BHG7095,TECK ANG (AIRCOND WORKSHOP),0.37,30.0,0.012333333333333333
BHG9852,FEDERAL HIGHWAY (LIMIT 80 KM/HRS),27.98,257.83,0.10852111856649731
BHG9852,GDEX (SAPURA),0.0,257.83,0.0
BHG9852,GDEX HQ (PJY),5.54,257.83,0.021487026335182097
BHG9852,GDEX PJY 223,18.63,257.83,0.07225691347011597
BHG9852,"JALAN TANDANG, PJ (LIMIT 60 KM/HRS)",193.12,257.83,0.7490206725361673
BHG9852,Other,12.559999999999974,257.83,0.04871426909203729
BHG9856,FEDERAL HIGHWAY (LIMIT 80 KM/HRS),0.0,370.43,0.0
BHG9856,GDEX (SAPURA),0.37,370.43,0.0009988391868909106
BHG9856,GDEX HQ (PJY),4.55,370.43,0.012283022433388224
BHG9856,GDEX PJY 223,52.63,370.43,0.1420781254218071
BHG9856,"HINO MOTOR, JALAN 51A/223",77.59,370.43,0.20945927705639392
BHG9856,"JALAN TANDANG, PJ (LIMIT 60 KM/HRS)",195.8,370.43,0.52857489944119
BHG9856,Other,14.96999999999997,370.43,0.04041249358853217
BHG9856,PUSPAKOM PJCT,9.72,370.43,0.02623977539616122
BHG9856,SUM HENG TYRE,14.8,370.43,0.03995356747563642
BHG9885,GDEX PUC,175.97,224.16,0.7850196288365453
BHG9885,Other,48.19,224.16,0.21498037116345467
BHG9895,GDEX SDG,0.0,0.0,
BHG9895,Other,0.0,0.0,
BHH1086,CALTEX JLN KLANG LAMA PANTAI BARU HWY,3.28,458.1,0.007160008731717965
BHH1086,GDEX HQ (PJY),3.3,458.1,0.007203667321545514
BHH1086,GDEX SBY,169.39,458.1,0.36976642654442254
BHH1086,"JALAN TANDANG, PJ (LIMIT 60 KM/HRS)",257.46,458.1,0.5620170268500326
BHH1086,Other,22.090000000000032,458.1,0.04822091246452746
BHH1086,PANTAI BARU HWY TOLL,2.58,458.1,0.0056319580877537655
BHH1090,GDEX KPG,194.31,195.48,0.9940147329650093
BHH1090,Other,1.1699999999999875,195.48,0.005985267034990728
BHL6048,GDEX (SAPURA),0.66,37.92,0.01740506329113924
BHL6048,GDEX HQ (PJY),2.19,37.92,0.05775316455696202
BHL6048,GDEX PJY 223,14.21,37.92,0.37473628691983124
BHL6048,"HINO MOTOR, JALAN 51A/223",4.76,37.92,0.12552742616033755
BHL6048,"JALAN TANDANG, PJ (LIMIT 60 KM/HRS)",16.1,37.92,0.42457805907172996
BHL6048,Other,0.0,37.92,0.0
BHL7165,GDEX BBU,68.99,519.12,0.13289798119895208
BHL7165,GDEX RWG,429.72,519.12,0.827785483125289
BHL7165,Other,20.409999999999968,519.12,0.039316535675758914
BHL7351,GDEX (SAPURA),1.07,177.89,0.00601495306088032
BHL7351,GDEX HQ (PJY),0.0,177.89,0.0
BHL7351,GDEX SGB,122.31,177.89,0.6875597279217495
BHL7351,"JALAN TANDANG, PJ (LIMIT 60 KM/HRS)",3.36,177.89,0.018888076901455955
BHL7351,Other,0.0,177.89,0.0
BHL7351,PUSPAKOM PJCT,51.15,177.89,0.28753724211591436
BHU4359,FEDERAL HIGHWAY (LIMIT 80 KM/HRS),6.39,63.67,0.1003612376315376
BHU4359,GDEX (SAPURA),0.56,63.67,0.008795351028741951
BHU4359,GDEX HQ (PJY),0.0,63.67,0.0
BHU4359,GDEX PJY 223,33.69,63.67,0.5291346002827076
BHU4359,JALAN ISTANA (ISTANA NEGARA LAMA),8.54,63.67,0.13412910318831472
BHU4359,"JALAN TANDANG, PJ (LIMIT 60 KM/HRS)",0.35,63.67,0.005497094392963719
BHU4359,Other,14.14,63.67,0.22208261347573427
BHU732,GDEX BPS,754.0,847.0,0.8902007083825265
BHU732,Other,93.0,847.0,0.10979929161747344
BHU733,GDEX (SAPURA),8.08,13.48,0.5994065281899109
BHU733,GDEX HQ (PJY),0.1,13.48,0.00741839762611276
